Fluid,Type,Rho_reduced,Temp_reduced,H_reduced,D_reduced,Ref.
Ethane,C2H6,0.760587799,0.942988865,16.28403183,15.78446722,"Leverant et al., 2023"
Ethane,C2H6,0.764155899,1.042105738,16.28403183,18.09256805,"Leverant et al., 2023"
Ethane,C2H6,0.776607839,0.904108507,16.28403183,13.43973658,"Leverant et al., 2023"
Ethane,C2H6,0.807774098,1.018740138,16.28403183,13.719424,"Leverant et al., 2023"
Ethane,C2H6,0.836974262,0.855180942,16.28403183,9.159405493,"Leverant et al., 2023"
Ethane,C2H6,0.849644657,0.724333585,16.28403183,6.35751712,"Leverant et al., 2023"
Ethane,C2H6,0.854159395,0.789757263,16.28403183,6.911454876,"Leverant et al., 2023"
Ethane,C2H6,0.449289298,1.39843113,24.42604775,81.29932674,"Leverant et al., 2023"
Ethane,C2H6,0.4607946,1.426049269,24.42604775,75.18464572,"Leverant et al., 2023"
Ethane,C2H6,0.530991501,1.338475002,24.42604775,58.35597724,"Leverant et al., 2023"
Ethane,C2H6,0.590411285,1.267910891,24.42604775,46.13813375,"Leverant et al., 2023"
Ethane,C2H6,0.623179549,1.39258973,24.42604775,44.90506444,"Leverant et al., 2023"
Ethane,C2H6,0.625582555,1.238376774,24.42604775,38.47775132,"Leverant et al., 2023"
Ethane,C2H6,0.650486435,1.327166052,24.42604775,39.1636893,"Leverant et al., 2023"
Ethane,C2H6,0.685876159,1.238376774,24.42604775,30.31703672,"Leverant et al., 2023"
Ethane,C2H6,0.687041253,1.327166052,24.42604775,33.3034032,"Leverant et al., 2023"
Ethane,C2H6,0.698255281,1.081593601,24.42604775,24.82685467,"Leverant et al., 2023"
Ethane,C2H6,0.718571604,1.172953095,24.42604775,25.55169797,"Leverant et al., 2023"
Ethane,C2H6,0.736412103,1.018740138,24.42604775,20.2938806,"Leverant et al., 2023"
Ethane,C2H6,0.757966338,0.967335819,24.42604775,17.00106419,"Leverant et al., 2023"
Ethane,C2H6,0.760587799,0.942988865,24.42604775,16.58134176,"Leverant et al., 2023"
Ethane,C2H6,0.764155899,1.042105738,24.42604775,18.98342352,"Leverant et al., 2023"
Ethane,C2H6,0.776607839,0.904108507,24.42604775,14.01230137,"Leverant et al., 2023"
Ethane,C2H6,0.807774098,1.018740138,24.42604775,13.69042624,"Leverant et al., 2023"
Ethane,C2H6,0.836974262,0.855180942,24.42604775,8.995930624,"Leverant et al., 2023"
Ethane,C2H6,0.849644657,0.724333585,24.42604775,6.350187131,"Leverant et al., 2023"
Ethane,C2H6,0.854159395,0.789757263,24.42604775,7.262911748,"Leverant et al., 2023"
Ethane,C2H6,0.449289298,1.39843113,36.63907162,83.73115135,"Leverant et al., 2023"
Ethane,C2H6,0.4607946,1.426049269,36.63907162,82.0531678,"Leverant et al., 2023"
Ethane,C2H6,0.530991501,1.338475002,36.63907162,61.38849849,"Leverant et al., 2023"
Ethane,C2H6,0.590411285,1.267910891,36.63907162,49.77964822,"Leverant et al., 2023"
Ethane,C2H6,0.623179549,1.39258973,36.63907162,45.63308944,"Leverant et al., 2023"
Ethane,C2H6,0.625582555,1.238376774,36.63907162,41.56117975,"Leverant et al., 2023"
